ticket,site,row,section,url
seatgeek-05VTRnV4oO2,seatgeek,21,117,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRnV4oO2
seatgeek-05VTRnVbJaK,seatgeek,2,D,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRnVbJaK
seatgeek-05VTRnr8LJm,seatgeek,20,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRnr8LJm
seatgeek-05VTRr8n4zK,seatgeek,7,226,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRr8n4zK
seatgeek-05VTRrBA4oE,seatgeek,6,101,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrBA4oE
seatgeek-05VTRrBrwMe,seatgeek,2,314,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrBrwMe
seatgeek-05VTRrEPd9m,seatgeek,10,226,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrEPd9m
seatgeek-05VTRrEPrKE,seatgeek,20,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrEPrKE
seatgeek-05VTRrEPrMR,seatgeek,21,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrEPrMR
seatgeek-05VTRrKxKMe,seatgeek,15,8,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrKxKMe
seatgeek-05VTRrNgDPl,seatgeek,14,7,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrNgDPl
seatgeek-05VTRrO0vOv,seatgeek,3,311,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrO0vOv
seatgeek-05VTRrO97lJ,seatgeek,7,3,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrO97lJ
seatgeek-05VTRrOkoJP,seatgeek,17,227,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrOkoJP
seatgeek-05VTRrPw2mo,seatgeek,16,213,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrPw2mo
seatgeek-05VTRrX9nDG,seatgeek,4,211,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrX9nDG
seatgeek-05VTRrXBbBN,seatgeek,8,208,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrXBbBN
seatgeek-05VTRrXJ2P4,seatgeek,11,107,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrXJ2P4
seatgeek-05VTRrXKVKA,seatgeek,15,8,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrXKVKA
seatgeek-05VTRrXX6OX,seatgeek,5,119,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrXX6OX
seatgeek-05VTRrXXpd8,seatgeek,8,225,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrXXpd8
seatgeek-05VTRrXqK6j,seatgeek,2,209,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrXqK6j
seatgeek-05VTRrZbBzx,seatgeek,1,D,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=05VTRrZbBzx
seatgeek-2v0clA6JaVN,seatgeek,8,3,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clA6JaVN
seatgeek-2v0clA6xpxX,seatgeek,18,111,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clA6xpxX
seatgeek-2v0clA90Mmn,seatgeek,3,109,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clA90Mmn
