ticket,timestampmillis,price
seatgeek-9P2c5Jxxeea,1685394053123,3297
seatgeek-9P2c5Jxxeea,1685394060778,3297
seatgeek-9P2c5Jxxeea,1685394102841,3297
seatgeek-9P2c5Jxxeea,1685394305087,3297
seatgeek-9P2c5Jxxeea,1685394611571,3297
seatgeek-9P2c5Jxxeea,1685394918036,3297
seatgeek-9P2c5Jxxeea,1685395224451,3297
seatgeek-9P2c5Jxxeea,1685395531143,3077
seatgeek-9P2c5Jxxeea,1685395837611,3077
seatgeek-jDvsz66m3lx,1685394053123,2214
seatgeek-jDvsz66m3lx,1685394060778,2214
seatgeek-jDvsz66m3lx,1685394102841,2214
seatgeek-jDvsz66m3lx,1685394305087,2214
seatgeek-z3Es6oDDd72,1685394053123,915
seatgeek-z3Es6oDDd72,1685394060778,915
seatgeek-z3Es6oDDd72,1685394102841,915
seatgeek-z3Es6oDDd72,1685394305087,915
seatgeek-z3Es6oDDd72,1685394611571,915
seatgeek-z3Es6oDDd72,1685394918036,915
seatgeek-z3Es6oDDd72,1685395224451,915
seatgeek-z3Es6oDDd72,1685395531143,915
seatgeek-nx0srGGKLGz,1685394053123,1083
seatgeek-nx0srGGKLGz,1685394060778,1083
seatgeek-nx0srGGKLGz,1685394102841,1083
seatgeek-nx0srGGKLGz,1685394305087,1083
seatgeek-nx0srGGKLGz,1685394611571,1026
seatgeek-nx0srGGKLGz,1685394918036,1026
seatgeek-nx0srGGKLGz,1685395224451,1026
seatgeek-nx0srGGKLGz,1685395531143,1026
seatgeek-nx0srGGKLGz,1685395837611,1026
seatgeek-xb9imoaaqe5,1685394053123,1024
seatgeek-xb9imoaaqe5,1685394060778,1024
seatgeek-xb9imoaaqe5,1685394102841,1024
seatgeek-xb9imoaaqe5,1685394305087,1024
seatgeek-xb9imoaaqe5,1685394611571,1024
seatgeek-xb9imoaaqe5,1685394918036,1024
seatgeek-xb9imoaaqe5,1685395224451,977
seatgeek-xb9imoaaqe5,1685395531143,977
seatgeek-xb9imoaaqe5,1685395837611,977
seatgeek-jDvsz6Ewppd,1685394053123,976
seatgeek-jDvsz6Ewppd,1685394060778,976
seatgeek-jDvsz6Ewppd,1685394102841,976
seatgeek-jDvsz6Ewppd,1685394305087,976
seatgeek-jDvsz6Ewppd,1685394611571,976
seatgeek-jDvsz6Ewppd,1685394918036,976
seatgeek-jDvsz6Ewppd,1685395224451,976
seatgeek-jDvsz6Ewppd,1685395531143,976
seatgeek-jDvsz6Ewppd,1685395837611,976
seatgeek-MAeIPaBBb9l,1685394053123,883
seatgeek-MAeIPaBBb9l,1685394060778,883
seatgeek-MAeIPaBBb9l,1685394102841,883
seatgeek-MAeIPaBBb9l,1685394305087,883
seatgeek-MAeIPaBBb9l,1685394611571,883
seatgeek-MAeIPaBBb9l,1685394918036,883
seatgeek-MAeIPaBBb9l,1685395224451,883
seatgeek-MAeIPaBBb9l,1685395531143,883
seatgeek-MAeIPaBBb9l,1685395837611,883
seatgeek-7KntAYeeG9w,1685394053123,738
seatgeek-7KntAYeeG9w,1685394060778,738
seatgeek-7KntAYeeG9w,1685394102841,738
seatgeek-7KntAYeeG9w,1685394305087,738
seatgeek-7KntAYeeG9w,1685394611571,738
seatgeek-7KntAYeeG9w,1685394918036,738
seatgeek-7KntAYeeG9w,1685395224451,738
seatgeek-7KntAYeeG9w,1685395531143,738
seatgeek-7KntAYeeG9w,1685395837611,738
seatgeek-5EjuZ8qZNAB,1685395837611,800
seatgeek-9P2c56eDmzm,1685394053123,940
seatgeek-9P2c56eDmzm,1685394060778,940
seatgeek-9P2c56eDmzm,1685394102841,940
seatgeek-9P2c56eDmzm,1685394305087,940
seatgeek-9P2c56eDmzm,1685394611571,940
seatgeek-9P2c56eDmzm,1685394918036,940
seatgeek-9P2c56eDmzm,1685395224451,940
seatgeek-9P2c56eDmzm,1685395531143,940
seatgeek-9P2c56eDmzm,1685395837611,940
seatgeek-Kezcz55GAV9,1685394053123,608
seatgeek-Kezcz55GAV9,1685394060778,608
seatgeek-Kezcz55GAV9,1685394102841,608
seatgeek-Kezcz55GAV9,1685394305087,608
seatgeek-Kezcz55GAV9,1685394611571,608
seatgeek-Kezcz55GAV9,1685394918036,608
seatgeek-Kezcz55GAV9,1685395224451,608
seatgeek-Kezcz55GAV9,1685395531143,608
seatgeek-Kezcz55GAV9,1685395837611,573
seatgeek-4vXcjOGjlxZ,1685394918036,966
seatgeek-4vXcjOGjlxZ,1685395224451,966
seatgeek-4vXcjOGjlxZ,1685395531143,966
seatgeek-4vXcjOGjlxZ,1685395837611,966
seatgeek-eeacK755MLv,1685394053123,4042
seatgeek-eeacK755MLv,1685394060778,4042
seatgeek-eeacK755MLv,1685394102841,4042
seatgeek-eeacK755MLv,1685394305087,4042
seatgeek-eeacK755MLv,1685394611571,4042
seatgeek-eeacK755MLv,1685394918036,4042
seatgeek-eeacK755MLv,1685395224451,4042
seatgeek-eeacK755MLv,1685395531143,4042
seatgeek-eeacK755MLv,1685395837611,4042
seatgeek-3q7fNqqRZro,1685394053123,1767
seatgeek-3q7fNqqRZro,1685394060778,1767
seatgeek-3q7fNqqRZro,1685394102841,1767
seatgeek-3q7fNqqRZro,1685394305087,1767
seatgeek-3q7fNqqRZro,1685394611571,1767
seatgeek-3q7fNqqRZro,1685394918036,1767
seatgeek-3q7fNqqRZro,1685395224451,1767
seatgeek-3q7fNqqRZro,1685395531143,1767
seatgeek-3q7fNqqRZro,1685395837611,1767
seatgeek-O7AhwgkkeGr,1685394053123,1023
seatgeek-O7AhwgkkeGr,1685394060778,1023
seatgeek-O7AhwgkkeGr,1685394102841,1023
seatgeek-O7AhwgkkeGr,1685394305087,1023
seatgeek-O7AhwgkkeGr,1685394611571,1023
seatgeek-O7AhwgkkeGr,1685394918036,1023
seatgeek-O7AhwgkkeGr,1685395224451,1023
seatgeek-O7AhwgkkeGr,1685395531143,1023
seatgeek-O7AhwgkkeGr,1685395837611,1023
seatgeek-vb3iPR0RrJL,1685394053123,1544
seatgeek-vb3iPR0RrJL,1685394060778,1544
seatgeek-vb3iPR0RrJL,1685394102841,1513
seatgeek-vb3iPR0RrJL,1685394305087,1513
seatgeek-vb3iPR0RrJL,1685394611571,1373
seatgeek-vb3iPR0RrJL,1685394918036,1354
seatgeek-vb3iPR0RrJL,1685395224451,1354
seatgeek-vb3iPR0RrJL,1685395531143,1354
seatgeek-vb3iPR0RrJL,1685395837611,1338
seatgeek-BALImee7V8m,1685394053123,1285
seatgeek-BALImee7V8m,1685394060778,1285
seatgeek-BALImee7V8m,1685394102841,1285
seatgeek-BALImee7V8m,1685394305087,1285
seatgeek-BALImee7V8m,1685394611571,1285
seatgeek-BALImee7V8m,1685394918036,1285
seatgeek-BALImee7V8m,1685395224451,1285
seatgeek-BALImee7V8m,1685395531143,1285
seatgeek-LbviLvXLZap,1685395224451,936
seatgeek-LbviLvXLZap,1685395531143,936
seatgeek-LbviLvXLZap,1685395837611,936
seatgeek-Kezcz55BR7m,1685394053123,1919
seatgeek-Kezcz55BR7m,1685394060778,1919
seatgeek-Kezcz55BR7m,1685394102841,1919
seatgeek-Kezcz55BR7m,1685394305087,1919
seatgeek-Kezcz55BR7m,1685394611571,1919
seatgeek-Kezcz55BR7m,1685394918036,1919
seatgeek-Kezcz55BR7m,1685395224451,1919
seatgeek-Kezcz55BR7m,1685395531143,1919
seatgeek-Kezcz55BR7m,1685395837611,1919
seatgeek-05VT8eReBAn,1685394053123,802
seatgeek-05VT8eReBAn,1685394060778,802
seatgeek-05VT8eReBAn,1685394102841,802
seatgeek-05VT8eReBAn,1685394305087,802
seatgeek-05VT8eReBAn,1685394611571,802
seatgeek-05VT8eReBAn,1685394918036,802
seatgeek-05VT8eReBAn,1685395224451,802
seatgeek-05VT8eReBAn,1685395531143,802
seatgeek-05VT8eReBAn,1685395837611,802
seatgeek-kYet9xL9zbN,1685395224451,882
seatgeek-kYet9xL9zbN,1685395531143,882
seatgeek-kYet9xL9zbN,1685395837611,882
seatgeek-NrqUvaJvgXD,1685394053123,784
seatgeek-NrqUvaJvgXD,1685394060778,784
seatgeek-NrqUvaJvgXD,1685394102841,784
seatgeek-NrqUvaJvgXD,1685394305087,784
seatgeek-NrqUvaJvgXD,1685394611571,784
seatgeek-NrqUvaJvgXD,1685394918036,784
seatgeek-NrqUvaJvgXD,1685395224451,784
seatgeek-NrqUvaJvgXD,1685395531143,784
seatgeek-NrqUvaJvgXD,1685395837611,784
seatgeek-mxAs4BLB9Kv,1685394053123,2896
seatgeek-mxAs4BLB9Kv,1685394060778,2896
seatgeek-mxAs4BLB9Kv,1685394102841,2896
seatgeek-mxAs4BLB9Kv,1685394305087,2896
seatgeek-mxAs4BLB9Kv,1685394611571,2896
seatgeek-mxAs4BLB9Kv,1685394918036,2896
seatgeek-mxAs4BLB9Kv,1685395224451,2896
seatgeek-mxAs4BLB9Kv,1685395531143,2992
seatgeek-mxAs4BLB9Kv,1685395837611,2992
seatgeek-jDvsz6E6KlB,1685394053123,859
seatgeek-jDvsz6E6KlB,1685394060778,859
seatgeek-jDvsz6E6KlB,1685394102841,859
seatgeek-jDvsz6E6KlB,1685394305087,859
seatgeek-jDvsz6E6KlB,1685394611571,859
seatgeek-jDvsz6E6KlB,1685394918036,859
seatgeek-jDvsz6E6KlB,1685395224451,859
seatgeek-jDvsz6E6KlB,1685395531143,859
seatgeek-jDvsz6E6KlB,1685395837611,859
seatgeek-GAaI6pOpE3q,1685394611571,1453
seatgeek-GAaI6pOpE3q,1685394918036,1453
seatgeek-GAaI6pOpE3q,1685395224451,1453
seatgeek-GAaI6pOpE3q,1685395531143,1453
seatgeek-GAaI6pOpE3q,1685395837611,1453
seatgeek-nx0srGwrPww,1685394053123,1010
seatgeek-nx0srGwrPww,1685394060778,1010
seatgeek-nx0srGwrPww,1685394102841,1010
seatgeek-nx0srGwrPww,1685394305087,1010
seatgeek-nx0srGwrPww,1685394611571,1010
seatgeek-nx0srGwrPww,1685394918036,1010
seatgeek-nx0srGwrPww,1685395224451,1010
seatgeek-nx0srGwrPww,1685395531143,1010
seatgeek-nx0srGwrPww,1685395837611,1010
seatgeek-JABI3lla6RE,1685394053123,3463
seatgeek-JABI3lla6RE,1685394060778,3463
seatgeek-JABI3lla6RE,1685394102841,3463
seatgeek-JABI3lla6RE,1685394305087,3463
seatgeek-JABI3lla6RE,1685394611571,3280
seatgeek-JABI3lla6RE,1685394918036,3280
seatgeek-JABI3lla6RE,1685395224451,3280
seatgeek-JABI3lla6RE,1685395531143,3280
seatgeek-JABI3lla6RE,1685395837611,3280
seatgeek-JABI3l5lP8Y,1685394053123,3479
seatgeek-JABI3l5lP8Y,1685394060778,3479
seatgeek-JABI3l5lP8Y,1685394102841,3479
seatgeek-JABI3l5lP8Y,1685394305087,3479
seatgeek-JABI3l5lP8Y,1685394611571,3479
seatgeek-JABI3l5lP8Y,1685394918036,3479
seatgeek-JABI3l5lP8Y,1685395224451,781
seatgeek-JABI3l5lP8Y,1685395531143,781
seatgeek-JABI3l5lP8Y,1685395837611,781
seatgeek-ROXHzPZP6VM,1685394053123,2538
seatgeek-ROXHzPZP6VM,1685394060778,2538
seatgeek-ROXHzPZP6VM,1685394102841,2538
seatgeek-ROXHzPZP6VM,1685394305087,2538
seatgeek-ROXHzPZP6VM,1685394611571,2538
seatgeek-ROXHzPZP6VM,1685394918036,2538
seatgeek-ROXHzPZP6VM,1685395224451,2538
seatgeek-ROXHzPZP6VM,1685395531143,2538
seatgeek-ROXHzPZP6VM,1685395837611,2538
seatgeek-mxAs4BL4B9A,1685394611571,1744
seatgeek-mxAs4BL4B9A,1685394918036,1744
seatgeek-mxAs4BL4B9A,1685395837611,1744
seatgeek-O7Ahwgg9ROB,1685394053123,1739
seatgeek-O7Ahwgg9ROB,1685394060778,1739
seatgeek-O7Ahwgg9ROB,1685394102841,1739
seatgeek-O7Ahwgg9ROB,1685394305087,1739
seatgeek-O7Ahwgg9ROB,1685394611571,1739
seatgeek-O7Ahwgg9ROB,1685394918036,1739
seatgeek-O7Ahwgg9ROB,1685395224451,1739
seatgeek-O7Ahwgg9ROB,1685395531143,1739
seatgeek-O7Ahwgg9ROB,1685395837611,1739
seatgeek-eeacK77z6m7,1685394053123,629
seatgeek-eeacK77z6m7,1685394060778,629
seatgeek-eeacK77z6m7,1685394102841,629
seatgeek-eeacK77z6m7,1685394305087,629
seatgeek-eeacK77z6m7,1685394611571,629
seatgeek-eeacK77z6m7,1685394918036,629
seatgeek-eeacK77z6m7,1685395224451,629
seatgeek-eeacK77z6m7,1685395531143,629
seatgeek-eeacK77z6m7,1685395837611,629
seatgeek-b4wUawRw0O6,1685394053123,3800
seatgeek-b4wUawRw0O6,1685394060778,3800
seatgeek-b4wUawRw0O6,1685394102841,3800
seatgeek-b4wUawRw0O6,1685394305087,3800
seatgeek-b4wUawRw0O6,1685394611571,3800
seatgeek-b4wUawRw0O6,1685394918036,3800
seatgeek-b4wUawRw0O6,1685395224451,3800
seatgeek-b4wUawRw0O6,1685395531143,3800
seatgeek-b4wUawRw0O6,1685395837611,3800
seatgeek-DdwHkPP38bO,1685394053123,1138
seatgeek-DdwHkPP38bO,1685394060778,1138
seatgeek-DdwHkPP38bO,1685394102841,1138
seatgeek-DdwHkPP38bO,1685394305087,1138
seatgeek-DdwHkPP38bO,1685394611571,1078
seatgeek-DdwHkPP38bO,1685394918036,1078
seatgeek-DdwHkPP38bO,1685395224451,1078
seatgeek-DdwHkPP38bO,1685395531143,1078
seatgeek-DdwHkPP38bO,1685395837611,1078
seatgeek-5EjuZ88GzwY,1685394053123,8465
seatgeek-5EjuZ88GzwY,1685394060778,8465
seatgeek-5EjuZ88GzwY,1685394102841,8465
seatgeek-5EjuZ88GzwY,1685394305087,8465
seatgeek-5EjuZ88GzwY,1685394611571,8465
seatgeek-5EjuZ88GzwY,1685394918036,8465
seatgeek-5EjuZ88GzwY,1685395224451,8465
seatgeek-agktlkkavZ2,1685394053123,923
seatgeek-agktlkkavZ2,1685394060778,923
seatgeek-agktlkkavZ2,1685394102841,923
seatgeek-agktlkkavZ2,1685394305087,923
seatgeek-agktlkkavZ2,1685394611571,923
seatgeek-agktlkkavZ2,1685394918036,923
seatgeek-agktlkkavZ2,1685395224451,923
seatgeek-agktlkkavZ2,1685395531143,923
seatgeek-agktlkkavZ2,1685395837611,923
seatgeek-JABI3l55x3R,1685394053123,763
seatgeek-JABI3l55x3R,1685394060778,763
seatgeek-JABI3l55x3R,1685394102841,763
seatgeek-JABI3l55x3R,1685394305087,763
seatgeek-Zm9hvAARvZv,1685394053123,965
seatgeek-Zm9hvAARvZv,1685394060778,965
seatgeek-Zm9hvAARvZv,1685394102841,965
seatgeek-Zm9hvAARvZv,1685394305087,965
seatgeek-Zm9hvAARvZv,1685394611571,965
seatgeek-Zm9hvAARvZv,1685394918036,965
seatgeek-Zm9hvAARvZv,1685395224451,965
seatgeek-Zm9hvAARvZv,1685395531143,965
seatgeek-Zm9hvAARvZv,1685395837611,965
seatgeek-jDvsz66Nopz,1685394053123,922
seatgeek-jDvsz66Nopz,1685394060778,922
seatgeek-jDvsz66Nopz,1685394102841,922
seatgeek-jDvsz66Nopz,1685394305087,833
seatgeek-jDvsz66Nopz,1685394611571,833
seatgeek-jDvsz66Nopz,1685394918036,833
seatgeek-jDvsz66Nopz,1685395224451,833
seatgeek-jDvsz66Nopz,1685395531143,833
seatgeek-jDvsz66Nopz,1685395837611,833
seatgeek-V4KU0bmmPjL,1685394053123,852
seatgeek-V4KU0bmmPjL,1685394060778,852
seatgeek-V4KU0bmmPjL,1685394102841,852
seatgeek-V4KU0bmmPjL,1685394305087,852
seatgeek-V4KU0bmmPjL,1685394611571,852
seatgeek-V4KU0bmmPjL,1685394918036,852
seatgeek-05VT8eeLaG2,1685394053123,895
seatgeek-05VT8eeLaG2,1685394060778,895
seatgeek-05VT8eeLaG2,1685394102841,895
seatgeek-05VT8eeLaG2,1685394305087,895
seatgeek-ROXHzPZRm5v,1685394053123,22478
seatgeek-ROXHzPZRm5v,1685394060778,22478
seatgeek-ROXHzPZRm5v,1685394102841,22478
seatgeek-ROXHzPZRm5v,1685394305087,22478
seatgeek-ROXHzPZRm5v,1685394611571,22478
seatgeek-ROXHzPZRm5v,1685394918036,22478
seatgeek-ROXHzPZRm5v,1685395224451,22478
seatgeek-ROXHzPZRm5v,1685395531143,22478
seatgeek-ROXHzPZRm5v,1685395837611,22478
seatgeek-JABI3l5nVwK,1685394053123,1091
seatgeek-JABI3l5nVwK,1685394060778,1091
seatgeek-JABI3l5nVwK,1685394102841,1091
seatgeek-JABI3l5nVwK,1685394305087,1091
seatgeek-JABI3l5nVwK,1685394611571,1091
seatgeek-JABI3l5nVwK,1685394918036,1091
seatgeek-JABI3l5nVwK,1685395224451,1091
seatgeek-JABI3l5nVwK,1685395531143,1091
seatgeek-JABI3l5nVwK,1685395837611,1091
seatgeek-EroUXll7aaz,1685394053123,646
seatgeek-EroUXll7aaz,1685394060778,646
seatgeek-EroUXll7aaz,1685394102841,646
seatgeek-EroUXll7aaz,1685394305087,646
seatgeek-EroUXll7aaz,1685394611571,626
seatgeek-EroUXll7aaz,1685394918036,626
seatgeek-EroUXll7aaz,1685395224451,608
seatgeek-EroUXll7aaz,1685395531143,608
seatgeek-EroUXll7aaz,1685395837611,608
seatgeek-5EjuZ8qZpxE,1685395224451,3214
seatgeek-5EjuZ8qZpxE,1685395531143,3214
seatgeek-5EjuZ8qZpxE,1685395837611,3214
seatgeek-vb3iPRYPjKo,1685395531143,745
seatgeek-vb3iPRYPjKo,1685395837611,745
seatgeek-8lKt6E33r9Y,1685394053123,1303
seatgeek-8lKt6E33r9Y,1685394060778,1303
seatgeek-8lKt6E33r9Y,1685394102841,1303
seatgeek-8lKt6E33r9Y,1685394305087,1277
seatgeek-8lKt6E33r9Y,1685394611571,1277
seatgeek-8lKt6E33r9Y,1685394918036,1277
seatgeek-8lKt6E33r9Y,1685395224451,1277
seatgeek-8lKt6E33r9Y,1685395531143,1277
seatgeek-8lKt6E33r9Y,1685395837611,1277
seatgeek-oV7HbZaamXR,1685394053123,873
seatgeek-oV7HbZaamXR,1685394060778,873
seatgeek-oV7HbZaamXR,1685394102841,873
seatgeek-oV7HbZaamXR,1685394305087,873
seatgeek-oV7HbZaamXR,1685394611571,873
seatgeek-oV7HbZaamXR,1685394918036,873
seatgeek-oV7HbZaamXR,1685395224451,873
seatgeek-oV7HbZaamXR,1685395531143,873
seatgeek-oV7HbZaamXR,1685395837611,873
seatgeek-3q7fNqvqrMV,1685394053123,825
seatgeek-3q7fNqvqrMV,1685394060778,825
seatgeek-3q7fNqvqrMV,1685394102841,825
seatgeek-3q7fNqvqrMV,1685394305087,825
seatgeek-3q7fNqvqrMV,1685394611571,825
seatgeek-3q7fNqvqrMV,1685394918036,825
seatgeek-3q7fNqvqrMV,1685395224451,825
seatgeek-3q7fNqvqrMV,1685395531143,825
seatgeek-3q7fNqvqrMV,1685395837611,825
seatgeek-oV7HbZaa27X,1685394053123,5442
seatgeek-oV7HbZaa27X,1685394060778,5442
seatgeek-oV7HbZaa27X,1685394102841,5442
seatgeek-oV7HbZaa27X,1685394305087,5442
seatgeek-oV7HbZaa27X,1685394611571,5442
seatgeek-oV7HbZaa27X,1685394918036,5442
seatgeek-2v0czvvbm5G,1685394053123,2140
seatgeek-2v0czvvbm5G,1685394060778,2140
seatgeek-2v0czvvbm5G,1685394102841,2140
seatgeek-2v0czvvbm5G,1685394305087,2140
seatgeek-2v0czvvbm5G,1685394611571,2140
seatgeek-2v0czvvbm5G,1685394918036,2140
seatgeek-2v0czvvbm5G,1685395224451,2140
seatgeek-2v0czvvbm5G,1685395531143,2140
seatgeek-2v0czvvbm5G,1685395837611,2140
seatgeek-2v0czvlvZnO,1685394053123,2830
seatgeek-2v0czvlvZnO,1685394060778,2830
seatgeek-2v0czvlvZnO,1685394102841,2830
seatgeek-2v0czvlvZnO,1685394305087,2830
seatgeek-2v0czvlvZnO,1685394611571,2830
seatgeek-2v0czvlvZnO,1685394918036,2830
seatgeek-2v0czvlvZnO,1685395224451,2830
seatgeek-2v0czvlvZnO,1685395531143,2830
seatgeek-2v0czvlvZnO,1685395837611,2830
seatgeek-2v0czvlYXna,1685394053123,810
seatgeek-2v0czvlYXna,1685394060778,810
seatgeek-2v0czvlYXna,1685394102841,810
seatgeek-2v0czvlYXna,1685394305087,810
seatgeek-2v0czvlYXna,1685394611571,810
seatgeek-2v0czvlYXna,1685394918036,702
seatgeek-2v0czvlYXna,1685395224451,702
seatgeek-2v0czvlYXna,1685395531143,702
seatgeek-2v0czvlYXna,1685395837611,702
seatgeek-DdwHkPzkd0R,1685394305087,1814
seatgeek-DdwHkPzkd0R,1685394611571,1814
seatgeek-DdwHkPzkd0R,1685394918036,1814
seatgeek-DdwHkPzkd0R,1685395224451,1814
seatgeek-DdwHkPzkd0R,1685395531143,1814
seatgeek-DdwHkPzkd0R,1685395837611,1814
seatgeek-eeacK77EmXx,1685394053123,2676
seatgeek-eeacK77EmXx,1685394060778,2676
seatgeek-eeacK77EmXx,1685394102841,2676
seatgeek-eeacK77EmXx,1685394305087,2141
seatgeek-eeacK77EmXx,1685394611571,2141
seatgeek-eeacK77EmXx,1685394918036,2141
seatgeek-eeacK77EmXx,1685395224451,2141
seatgeek-eeacK77EmXx,1685395531143,2141
seatgeek-eeacK77EmXx,1685395837611,2141
seatgeek-JABI3ll62kP,1685394053123,3031
seatgeek-JABI3ll62kP,1685394060778,3031
seatgeek-JABI3ll62kP,1685394102841,3031
seatgeek-JABI3ll62kP,1685394305087,3031
seatgeek-JABI3ll62kP,1685394611571,2871
seatgeek-JABI3ll62kP,1685394918036,2871
seatgeek-JABI3ll62kP,1685395224451,2871
seatgeek-JABI3ll62kP,1685395531143,2871
seatgeek-JABI3ll62kP,1685395837611,2871
seatgeek-NrqUvaJPvle,1685394053123,877
seatgeek-NrqUvaJPvle,1685394060778,877
seatgeek-NrqUvaJPvle,1685394102841,877
seatgeek-NrqUvaJPvle,1685394305087,877
seatgeek-NrqUvaJPvle,1685394611571,877
seatgeek-NrqUvaJPvle,1685394918036,877
seatgeek-NrqUvaJPvle,1685395224451,877
seatgeek-NrqUvaJPvle,1685395531143,877
seatgeek-NrqUvaJPvle,1685395837611,877
seatgeek-JABI3l53GVP,1685394918036,2253
seatgeek-JABI3l53GVP,1685395224451,2253
seatgeek-JABI3l53GVP,1685395531143,2253
seatgeek-JABI3l53GVP,1685395837611,2253
seatgeek-PX0sgooljlK,1685394053123,927
seatgeek-PX0sgooljlK,1685394060778,927
seatgeek-PX0sgooljlK,1685394102841,927
seatgeek-PX0sgooljlK,1685394305087,927
seatgeek-PX0sgooljlK,1685394611571,927
seatgeek-PX0sgooljlK,1685394918036,927
seatgeek-PX0sgooljlK,1685395224451,927
seatgeek-PX0sgooljlK,1685395531143,927
seatgeek-PX0sgooljlK,1685395837611,927
seatgeek-LbviLvvwDwp,1685394053123,4193
seatgeek-LbviLvvwDwp,1685394060778,4193
seatgeek-LbviLvvwDwp,1685394102841,4193
seatgeek-LbviLvvwDwp,1685394305087,4193
seatgeek-LbviLvvwDwp,1685394611571,3971
seatgeek-LbviLvvwDwp,1685394918036,3971
seatgeek-LbviLvvwDwp,1685395224451,3971
seatgeek-LbviLvvwDwp,1685395531143,3971
seatgeek-LbviLvvwDwp,1685395837611,3971
seatgeek-xb9imoaokRR,1685394053123,5218
seatgeek-xb9imoaokRR,1685394060778,5218
seatgeek-xb9imoaokRR,1685394102841,5218
seatgeek-xb9imoaokRR,1685394305087,5218
seatgeek-xb9imoaokRR,1685394611571,5218
seatgeek-JABI3llrbR3,1685394053123,912
seatgeek-JABI3llrbR3,1685394060778,912
seatgeek-JABI3llrbR3,1685394102841,912
seatgeek-JABI3llrbR3,1685394305087,912
seatgeek-JABI3llrbR3,1685394611571,912
seatgeek-JABI3llrbR3,1685394918036,912
seatgeek-JABI3llrbR3,1685395224451,912
seatgeek-JABI3llrbR3,1685395531143,912
seatgeek-JABI3llrbR3,1685395837611,912
seatgeek-V4KU0bmbpGw,1685394053123,3456
seatgeek-V4KU0bmbpGw,1685394060778,3456
seatgeek-V4KU0bmbpGw,1685394102841,3456
seatgeek-V4KU0bmbpGw,1685394305087,3456
seatgeek-V4KU0bmbpGw,1685394611571,3456
seatgeek-V4KU0bmbpGw,1685394918036,3456
seatgeek-V4KU0bmbpGw,1685395224451,3456
seatgeek-V4KU0bmbpGw,1685395531143,3456
seatgeek-V4KU0bmbpGw,1685395837611,3456
seatgeek-3q7fNqqRjEo,1685394053123,1373
seatgeek-3q7fNqqRjEo,1685394060778,1373
seatgeek-3q7fNqqRjEo,1685394102841,1333
seatgeek-3q7fNqqRjEo,1685394305087,1333
seatgeek-3q7fNqqRjEo,1685394611571,1333
seatgeek-3q7fNqqRjEo,1685394918036,1333
seatgeek-3q7fNqqRjEo,1685395224451,1333
seatgeek-3q7fNqqRjEo,1685395531143,1333
seatgeek-3q7fNqqRjEo,1685395837611,1333
seatgeek-nx0srGwGOmj,1685394053123,3870
seatgeek-nx0srGwGOmj,1685394060778,3870
seatgeek-nx0srGwGOmj,1685394102841,3870
seatgeek-nx0srGwGOmj,1685394305087,3870
seatgeek-nx0srGwGOmj,1685394611571,3870
seatgeek-nx0srGwGOmj,1685394918036,3870
seatgeek-nx0srGwGOmj,1685395224451,3870
seatgeek-nx0srGwGOmj,1685395531143,3870
seatgeek-nx0srGwGOmj,1685395837611,3870
seatgeek-2v0czvlz7Rn,1685394053123,1086
seatgeek-2v0czvlz7Rn,1685394060778,1086
seatgeek-2v0czvlz7Rn,1685394102841,1086
seatgeek-2v0czvlz7Rn,1685394305087,1086
seatgeek-2v0czvlz7Rn,1685394611571,1086
seatgeek-2v0czvlz7Rn,1685394918036,1086
seatgeek-2v0czvlz7Rn,1685395224451,1086
seatgeek-2v0czvlz7Rn,1685395531143,1086
seatgeek-2v0czvlz7Rn,1685395837611,1086
seatgeek-g48UraajoNJ,1685394053123,1608
seatgeek-g48UraajoNJ,1685394060778,1608
seatgeek-g48UraajoNJ,1685394102841,1608
seatgeek-g48UraajoNJ,1685394305087,1608
seatgeek-g48UraajoNJ,1685394611571,1608
seatgeek-g48UraajoNJ,1685394918036,1608
seatgeek-g48UraajoNJ,1685395224451,1608
seatgeek-g48UraajoNJ,1685395531143,1608
seatgeek-g48UraajoNJ,1685395837611,1608
seatgeek-lxVsdaqaKJa,1685395531143,666
seatgeek-JABI3lnlGMz,1685394053123,1888
seatgeek-JABI3lnlGMz,1685394060778,1888
seatgeek-JABI3lnlGMz,1685394102841,1888
seatgeek-JABI3lnlGMz,1685394305087,1888
seatgeek-JABI3lnlGMz,1685394611571,1888
seatgeek-JABI3lnlGMz,1685394918036,1888
seatgeek-JABI3lnlGMz,1685395224451,1888
seatgeek-JABI3lnlGMz,1685395531143,1888
seatgeek-JABI3lnlGMz,1685395837611,1888
seatgeek-nx0srGGXnLK,1685394053123,1348
seatgeek-nx0srGGXnLK,1685394060778,1348
seatgeek-nx0srGGXnLK,1685394102841,1348
seatgeek-nx0srGGXnLK,1685394305087,1348
seatgeek-nx0srGGXnLK,1685394611571,1348
seatgeek-nx0srGGXnLK,1685394918036,1348
seatgeek-nx0srGGXnLK,1685395224451,1348
seatgeek-nx0srGGXnLK,1685395531143,1264
seatgeek-rVOHke8eDvq,1685394053123,1099
seatgeek-rVOHke8eDvq,1685394060778,1099
seatgeek-rVOHke8eDvq,1685394102841,1099
seatgeek-rVOHke8eDvq,1685394305087,1099
seatgeek-rVOHke8eDvq,1685394611571,1099
