ticket,timestampmillis,price
seatgeek-jDvsz66m3lx,1685394053123,2214
seatgeek-jDvsz66m3lx,1685394060778,2214
seatgeek-jDvsz66m3lx,1685394102841,2214
seatgeek-jDvsz66m3lx,1685394305087,2214
seatgeek-9P2c5Jxxeea,1685394053123,3297
seatgeek-9P2c5Jxxeea,1685394060778,3297
seatgeek-9P2c5Jxxeea,1685394102841,3297
seatgeek-9P2c5Jxxeea,1685394305087,3297
seatgeek-9P2c5Jxxeea,1685394611571,3297
seatgeek-9P2c5Jxxeea,1685394918036,3297
seatgeek-9P2c5Jxxeea,1685395224451,3297
seatgeek-9P2c5Jxxeea,1685395531143,3077
seatgeek-9P2c5Jxxeea,1685395837611,3077
seatgeek-9P2c5Jxxeea,1685396144364,3077
seatgeek-9P2c5Jxxeea,1685396450560,3077
seatgeek-9P2c5Jxxeea,1685396784565,2857
seatgeek-9P2c5Jxxeea,1685401289289,2728
seatgeek-9P2c5Jxxeea,1685401595794,2728
seatgeek-jDvsz6Ewppd,1685394053123,976
seatgeek-jDvsz6Ewppd,1685394060778,976
seatgeek-jDvsz6Ewppd,1685394102841,976
seatgeek-jDvsz6Ewppd,1685394305087,976
seatgeek-jDvsz6Ewppd,1685394611571,976
seatgeek-jDvsz6Ewppd,1685394918036,976
seatgeek-jDvsz6Ewppd,1685395224451,976
seatgeek-jDvsz6Ewppd,1685395531143,976
seatgeek-jDvsz6Ewppd,1685395837611,976
seatgeek-jDvsz6Ewppd,1685396144364,976
seatgeek-jDvsz6Ewppd,1685396450560,976
seatgeek-jDvsz6Ewppd,1685396784565,976
seatgeek-jDvsz6Ewppd,1685401289289,722
seatgeek-jDvsz6Ewppd,1685401595794,722
seatgeek-jDvsz6Ewppd,1685401901852,722
seatgeek-jDvsz6Ewppd,1685402208675,722
seatgeek-MAeIPaBBb9l,1685394053123,883
seatgeek-MAeIPaBBb9l,1685394060778,883
seatgeek-MAeIPaBBb9l,1685394102841,883
seatgeek-MAeIPaBBb9l,1685394305087,883
seatgeek-MAeIPaBBb9l,1685394611571,883
seatgeek-MAeIPaBBb9l,1685394918036,883
seatgeek-MAeIPaBBb9l,1685395224451,883
seatgeek-MAeIPaBBb9l,1685395531143,883
seatgeek-MAeIPaBBb9l,1685395837611,883
seatgeek-nx0srGGKLGz,1685394053123,1083
seatgeek-nx0srGGKLGz,1685394060778,1083
seatgeek-nx0srGGKLGz,1685394102841,1083
seatgeek-nx0srGGKLGz,1685394305087,1083
seatgeek-nx0srGGKLGz,1685394611571,1026
seatgeek-nx0srGGKLGz,1685394918036,1026
seatgeek-nx0srGGKLGz,1685395224451,1026
seatgeek-nx0srGGKLGz,1685395531143,1026
seatgeek-nx0srGGKLGz,1685395837611,1026
seatgeek-nx0srGGKLGz,1685396144364,1026
seatgeek-nx0srGGKLGz,1685396450560,1026
seatgeek-nx0srGGKLGz,1685396784565,1026
seatgeek-nx0srGGKLGz,1685401289289,3080
seatgeek-nx0srGGKLGz,1685401595794,3080
seatgeek-nx0srGGKLGz,1685401901852,3080
seatgeek-nx0srGGKLGz,1685402208675,3080
seatgeek-xb9imoaaqe5,1685394053123,1024
seatgeek-xb9imoaaqe5,1685394060778,1024
seatgeek-xb9imoaaqe5,1685394102841,1024
seatgeek-xb9imoaaqe5,1685394305087,1024
seatgeek-xb9imoaaqe5,1685394611571,1024
seatgeek-xb9imoaaqe5,1685394918036,1024
seatgeek-xb9imoaaqe5,1685395224451,977
seatgeek-xb9imoaaqe5,1685395531143,977
seatgeek-xb9imoaaqe5,1685395837611,977
seatgeek-xb9imoaaqe5,1685396144364,977
seatgeek-xb9imoaaqe5,1685396450560,977
seatgeek-xb9imoaaqe5,1685396784565,942
seatgeek-z3Es6oDDd72,1685394053123,915
seatgeek-z3Es6oDDd72,1685394060778,915
seatgeek-z3Es6oDDd72,1685394102841,915
seatgeek-z3Es6oDDd72,1685394305087,915
seatgeek-z3Es6oDDd72,1685394611571,915
seatgeek-z3Es6oDDd72,1685394918036,915
seatgeek-z3Es6oDDd72,1685395224451,915
seatgeek-z3Es6oDDd72,1685395531143,915
seatgeek-4vXcjOGjlxZ,1685394918036,966
seatgeek-4vXcjOGjlxZ,1685395224451,966
seatgeek-4vXcjOGjlxZ,1685395531143,966
seatgeek-4vXcjOGjlxZ,1685395837611,966
seatgeek-4vXcjOGjlxZ,1685396144364,966
seatgeek-4vXcjOGjlxZ,1685396450560,966
seatgeek-Kezcz55GAV9,1685394053123,608
seatgeek-Kezcz55GAV9,1685394060778,608
seatgeek-Kezcz55GAV9,1685394102841,608
seatgeek-Kezcz55GAV9,1685394305087,608
seatgeek-Kezcz55GAV9,1685394611571,608
seatgeek-Kezcz55GAV9,1685394918036,608
seatgeek-Kezcz55GAV9,1685395224451,608
seatgeek-Kezcz55GAV9,1685395531143,608
seatgeek-Kezcz55GAV9,1685395837611,573
seatgeek-Kezcz55GAV9,1685396144364,573
seatgeek-Kezcz55GAV9,1685396450560,573
seatgeek-Kezcz55GAV9,1685396784565,573
seatgeek-5EjuZ8qZNAB,1685395837611,800
seatgeek-5EjuZ8qZNAB,1685396144364,800
seatgeek-5EjuZ8qZNAB,1685396450560,800
seatgeek-5EjuZ8qZNAB,1685396784565,800
seatgeek-9P2c56eDmzm,1685394053123,940
seatgeek-9P2c56eDmzm,1685394060778,940
seatgeek-9P2c56eDmzm,1685394102841,940
seatgeek-9P2c56eDmzm,1685394305087,940
seatgeek-9P2c56eDmzm,1685394611571,940
seatgeek-9P2c56eDmzm,1685394918036,940
seatgeek-9P2c56eDmzm,1685395224451,940
seatgeek-9P2c56eDmzm,1685395531143,940
seatgeek-9P2c56eDmzm,1685395837611,940
seatgeek-9P2c56eDmzm,1685396144364,940
seatgeek-9P2c56eDmzm,1685396450560,940
seatgeek-9P2c56eDmzm,1685396784565,912
seatgeek-9P2c56eDmzm,1685401289289,908
seatgeek-7KntAYeeG9w,1685394053123,738
seatgeek-7KntAYeeG9w,1685394060778,738
seatgeek-7KntAYeeG9w,1685394102841,738
seatgeek-7KntAYeeG9w,1685394305087,738
seatgeek-7KntAYeeG9w,1685394611571,738
seatgeek-7KntAYeeG9w,1685394918036,738
seatgeek-7KntAYeeG9w,1685395224451,738
seatgeek-7KntAYeeG9w,1685395531143,738
seatgeek-7KntAYeeG9w,1685395837611,738
seatgeek-7KntAYeeG9w,1685396144364,738
seatgeek-7KntAYeeG9w,1685396450560,738
seatgeek-7KntAYeeG9w,1685396784565,738
seatgeek-7KntAYeeG9w,1685401289289,607
seatgeek-7KntAYeeG9w,1685401595794,607
seatgeek-7KntAYeeG9w,1685401901852,607
seatgeek-7KntAYeeG9w,1685402208675,607
seatgeek-7KntAYeeG9w,1685402515502,607
seatgeek-Kezcz55BR7m,1685394053123,1919
seatgeek-Kezcz55BR7m,1685394060778,1919
seatgeek-Kezcz55BR7m,1685394102841,1919
seatgeek-Kezcz55BR7m,1685394305087,1919
