roundedMaxTS,roundedMaxDate,site,sold,soldAccum,unsold,inventory
1662858000000,“2022-09-10T21:00:00-04:00”,stubhub,4,4,637,641
1662858000000,“2022-09-10T21:00:00-04:00”,seatgeek,3,3,658,661
1662858000000,“2022-09-10T21:00:00-04:00”,vividseats,4,4,1025,1029
1662861600000,“2022-09-10T22:00:00-04:00”,stubhub,244,248,393,641
1662861600000,“2022-09-10T22:00:00-04:00”,seatgeek,341,344,317,661
1662861600000,“2022-09-10T22:00:00-04:00”,vividseats,645,649,380,1029
1662894000000,“2022-09-11T07:00:00-04:00”,stubhub,22,270,372,642
1662894000000,“2022-09-11T07:00:00-04:00”,seatgeek,15,359,302,661
1662894000000,“2022-09-11T07:00:00-04:00”,vividseats,22,671,358,1029
1662897600000,“2022-09-11T08:00:00-04:00”,stubhub,16,286,356,642
1662897600000,“2022-09-11T08:00:00-04:00”,seatgeek,6,365,296,661
1662897600000,“2022-09-11T08:00:00-04:00”,vividseats,11,682,347,1029
1662901200000,“2022-09-11T09:00:00-04:00”,stubhub,34,320,322,642
1662901200000,“2022-09-11T09:00:00-04:00”,seatgeek,34,399,262,661
1662901200000,“2022-09-11T09:00:00-04:00”,vividseats,43,725,304,1029
1662904800000,“2022-09-11T10:00:00-04:00”,stubhub,34,354,288,642
1662904800000,“2022-09-11T10:00:00-04:00”,seatgeek,34,433,228,661
1662904800000,“2022-09-11T10:00:00-04:00”,vividseats,41,766,263,1029
1662908400000,“2022-09-11T11:00:00-04:00”,stubhub,141,495,146,641
1662908400000,“2022-09-11T11:00:00-04:00”,seatgeek,96,529,132,661
1662908400000,“2022-09-11T11:00:00-04:00”,vividseats,101,867,162,1029
1662912000000,“2022-09-11T12:00:00-04:00”,stubhub,49,544,97,641
1662912000000,“2022-09-11T12:00:00-04:00”,seatgeek,39,568,93,661
1662912000000,“2022-09-11T12:00:00-04:00”,vividseats,60,927,102,1029
1662915600000,“2022-09-11T13:00:00-04:00”,stubhub,36,580,61,641
1662915600000,“2022-09-11T13:00:00-04:00”,seatgeek,30,598,63,661
1662915600000,“2022-09-11T13:00:00-04:00”,vividseats,38,965,64,1029
1662919200000,“2022-09-11T14:00:00-04:00”,stubhub,0,580,61,641
1662919200000,“2022-09-11T14:00:00-04:00”,seatgeek,0,598,63,661
1662919200000,“2022-09-11T14:00:00-04:00”,vividseats,0,965,64,1029
