ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
seatgeek-pVXHD6m6dw5,seatgeek,13,318,Balcony 318 Row 13,Balcony 318 Row 13,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=pVXHD6m6dw5,1,1685402208675
seatgeek-dNgUgVZVYAb,seatgeek,A,12,VIP 12 Row A,VIP 12 Row A,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=dNgUgVZVYAb,7,1685402208675
seatgeek-7KntAYYrKed,seatgeek,11,322,Balcony 322 Row 11,Balcony 322 Row 11,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=7KntAYYrKed,1,1685402208675
seatgeek-lxVsdaaEa2G,seatgeek,21,Loge 6,Section Loge 6 Row 21,Section Loge 6 Row 21,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=lxVsdaaEa2G,1,1685402208675
seatgeek-nx0srGwrPww,seatgeek,14,318,Balcony 318 Row 14,Balcony 318 Row 14,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=nx0srGwrPww,2,1685402208675
seatgeek-JABI3l5lP8Y,seatgeek,6,308,Balcony 308 Row 6,Balcony 308 Row 6,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=JABI3l5lP8Y,2,1685396784565
seatgeek-JABI3lla6RE,seatgeek,3,Loge 20,Section Loge 20 Row 3,Section Loge 20 Row 3,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=JABI3lla6RE,2,1685395837611
seatgeek-NrqUvaJvgXD,seatgeek,13,322,Balcony 322 Row 13,Balcony 322 Row 13,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=NrqUvaJvgXD,1,1685402208675
seatgeek-GAaI6pOpE3q,seatgeek,25,Loge 5,Section Loge 5 Row 25,Section Loge 5 Row 25,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=GAaI6pOpE3q,1,1685395837611
seatgeek-kYet9xL9zbN,seatgeek,11,327,Balcony 327 Row 11,Balcony 327 Row 11,https://seatgeek.com/eastern-conference-finals-miami-heat-at-boston-celtics-game-7-tickets/5-29-2023-boston-massachusetts-td-garden/nba/5958508?listing=kYet9xL9zbN,1,1685396784565
