ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
stubhub-5501527642,stubhub,B,135,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501527642,1,1662912041342
vividseats-VB5773667017,vividseats,C,108,Loge 108,,https://www.vividseats.com//production/3736730?showDetails=VB5773667017&qty=1,1,1662895455075
vividseats-VB5774025636,vividseats,E,117,Loge 117,,https://www.vividseats.com//production/3736730?showDetails=VB5774025636&qty=1,2,1662905529710
seatgeek-lxVsqEd95no,seatgeek,U,314,Section 314 Row U,Section 314 Row U,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=lxVsqEd95no,3,1662861991314
seatgeek-eeac5aKmNee,seatgeek,N,330,Section 330 Row N,Section 330 Row N,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=eeac5aKmNee,3,1662861991314
vividseats-VB5773092363,vividseats,N,334,Promenade 334,,https://www.vividseats.com//production/3736730?showDetails=VB5773092363&qty=1,1,1662863508793
vividseats-VB5774254716,vividseats,W,330,Promenade 330,,https://www.vividseats.com//production/3736730?showDetails=VB5774254716&qty=1,2,1662909017574
vividseats-VB5771901131,vividseats,D,315,Promenade 315,,https://www.vividseats.com//production/3736730?showDetails=VB5771901131&qty=1,1,1662861991314
seatgeek-dNgUZdzvwnL,seatgeek,G,135,Section 135 Row G,Section 135 Row G,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=dNgUZdzvwnL,9,1662910745042
seatgeek-eeac5aV5b20,seatgeek,F,105,Section 105 Row F,Section 105 Row F,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=eeac5aV5b20,2,1662921998582
seatgeek-KezcrGz4p3p,seatgeek,E,301,Section 301 Row E,Section 301 Row E,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=KezcrGz4p3p,3,1662861991314
vividseats-VB5772678813,vividseats,G,326,Promenade 326,,https://www.vividseats.com//production/3736730?showDetails=VB5772678813&qty=1,4,1662909881449
vividseats-VB5772748644,vividseats,T,332,Promenade 332,,https://www.vividseats.com//production/3736730?showDetails=VB5772748644&qty=1,2,1662909017574
seatgeek-EroUbdXjLqk,seatgeek,P,310,Section 310 Row P,Section 310 Row P,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=EroUbdXjLqk,3,1662861991314
stubhub-5475415350,stubhub,E,130,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5475415350,1,1662861991314
vividseats-VB5773091339,vividseats,F,328,Promenade 328,,https://www.vividseats.com//production/3736730?showDetails=VB5773091339&qty=1,1,1662863508793
vividseats-VB5774552432,vividseats,J,121,Loge 121,,https://www.vividseats.com//production/3736730?showDetails=VB5774552432&qty=1,2,1662916406473
vividseats-VB5773090535,vividseats,N,319,Promenade 319,,https://www.vividseats.com//production/3736730?showDetails=VB5773090535&qty=1,1,1662863508793
vividseats-VB5773093565,vividseats,V,323,Promenade 323,,https://www.vividseats.com//production/3736730?showDetails=VB5773093565&qty=1,1,1662863508793
