roundedMaxTS,roundedMaxDate,site,sold,soldAccum,unsold,inventory
1643904000000,“2022-02-03T11:00:00-05:00”,stubhub,1,1,5022,5023
1643904000000,“2022-02-03T11:00:00-05:00”,seatgeek,0,0,2743,2743
1643904000000,“2022-02-03T11:00:00-05:00”,vividseats,0,0,6348,6348
1643907600000,“2022-02-03T12:00:00-05:00”,stubhub,13,14,5009,5023
1643907600000,“2022-02-03T12:00:00-05:00”,seatgeek,6,6,2737,2743
1643907600000,“2022-02-03T12:00:00-05:00”,vividseats,34,34,6314,6348
1643911200000,“2022-02-03T13:00:00-05:00”,stubhub,7,21,5002,5023
1643911200000,“2022-02-03T13:00:00-05:00”,seatgeek,5,11,2732,2743
1643911200000,“2022-02-03T13:00:00-05:00”,vividseats,27,61,6287,6348
1643914800000,“2022-02-03T14:00:00-05:00”,stubhub,4,25,4998,5023
1643914800000,“2022-02-03T14:00:00-05:00”,seatgeek,7,18,2725,2743
1643914800000,“2022-02-03T14:00:00-05:00”,vividseats,20,81,6267,6348
1643918400000,“2022-02-03T15:00:00-05:00”,stubhub,17,42,4981,5023
1643918400000,“2022-02-03T15:00:00-05:00”,seatgeek,5,23,2720,2743
1643918400000,“2022-02-03T15:00:00-05:00”,vividseats,35,116,6232,6348
1643922000000,“2022-02-03T16:00:00-05:00”,stubhub,11,53,4970,5023
1643922000000,“2022-02-03T16:00:00-05:00”,seatgeek,5,28,2715,2743
1643922000000,“2022-02-03T16:00:00-05:00”,vividseats,33,149,6199,6348
1643925600000,“2022-02-03T17:00:00-05:00”,stubhub,5,58,4965,5023
1643925600000,“2022-02-03T17:00:00-05:00”,seatgeek,3,31,2712,2743
1643925600000,“2022-02-03T17:00:00-05:00”,vividseats,10,159,6189,6348
1643929200000,“2022-02-03T18:00:00-05:00”,stubhub,6,64,4959,5023
1643929200000,“2022-02-03T18:00:00-05:00”,seatgeek,3,34,2709,2743
1643929200000,“2022-02-03T18:00:00-05:00”,vividseats,18,177,6171,6348
1643932800000,“2022-02-03T19:00:00-05:00”,stubhub,9,73,4950,5023
1643932800000,“2022-02-03T19:00:00-05:00”,seatgeek,6,40,2703,2743
1643932800000,“2022-02-03T19:00:00-05:00”,vividseats,11,188,6160,6348
1643936400000,“2022-02-03T20:00:00-05:00”,stubhub,5,78,4945,5023
1643936400000,“2022-02-03T20:00:00-05:00”,seatgeek,3,43,2700,2743
1643936400000,“2022-02-03T20:00:00-05:00”,vividseats,14,202,6146,6348
1643940000000,“2022-02-03T21:00:00-05:00”,stubhub,6,84,4939,5023
1643940000000,“2022-02-03T21:00:00-05:00”,seatgeek,5,48,2695,2743
1643940000000,“2022-02-03T21:00:00-05:00”,vividseats,15,217,6131,6348
1643943600000,“2022-02-03T22:00:00-05:00”,stubhub,9,93,4930,5023
1643943600000,“2022-02-03T22:00:00-05:00”,seatgeek,4,52,2691,2743
1643943600000,“2022-02-03T22:00:00-05:00”,vividseats,22,239,6109,6348
1643958000000,“2022-02-04T02:00:00-05:00”,stubhub,4,97,4926,5023
1643958000000,“2022-02-04T02:00:00-05:00”,seatgeek,1,53,2690,2743
