ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
seatgeek-05VTRr20vNw,seatgeek,4,202,https://www.seatgeek.com/?listing=05VTRr20vNw,10,1644768490275
seatgeek-05VTRr239jG,seatgeek,19,305,https://www.seatgeek.com/?listing=05VTRr239jG,7,1644785651939
seatgeek-05VTRr23aN2,seatgeek,14,235,https://www.seatgeek.com/?listing=05VTRr23aN2,1,1644730702930
seatgeek-05VTRr23aXY,seatgeek,23,234,https://www.seatgeek.com/?listing=05VTRr23aXY,4,1644790780888
seatgeek-05VTRr274LV,seatgeek,1,301,https://www.seatgeek.com/?listing=05VTRr274LV,2,1644776106797
seatgeek-05VTRr274Rj,seatgeek,11,220,https://www.seatgeek.com/?listing=05VTRr274Rj,1,1644780868143
seatgeek-05VTRr274dA,seatgeek,1,247,https://www.seatgeek.com/?listing=05VTRr274dA,1,1644774203571
seatgeek-05VTRr2Bq9k,seatgeek,17,536,https://www.seatgeek.com/?listing=05VTRr2Bq9k,4,1644695170799
seatgeek-05VTRr2Gde0,seatgeek,11,Club 116,https://www.seatgeek.com/?listing=05VTRr2Gde0,6,1644727842508
seatgeek-05VTRr2OKPY,seatgeek,7,206,https://www.seatgeek.com/?listing=05VTRr2OKPY,1,1644766587180
seatgeek-05VTRr2Own5,seatgeek,4,411,https://www.seatgeek.com/?listing=05VTRr2Own5,2,1644780868143
seatgeek-05VTRr2VdE3,seatgeek,21,534,https://www.seatgeek.com/?listing=05VTRr2VdE3,4,1644688258663
seatgeek-05VTRr2YGxO,seatgeek,5,340,https://www.seatgeek.com/?listing=05VTRr2YGxO,2,1644596363218
seatgeek-05VTRr2ZMrE,seatgeek,14,231,https://www.seatgeek.com/?listing=05VTRr2ZMrE,11,1644710635934
seatgeek-05VTRr2ZY3D,seatgeek,4,Club 216,https://www.seatgeek.com/?listing=05VTRr2ZY3D,5,1644625948139
