ticket,site,row,section,url
seatgeek-05VTRr20vNw,seatgeek,4,202,https://www.seatgeek.com/?listing=05VTRr20vNw
seatgeek-05VTRr2Gde0,seatgeek,11,Club 116,https://www.seatgeek.com/?listing=05VTRr2Gde0
seatgeek-05VTRr2VdE3,seatgeek,21,534,https://www.seatgeek.com/?listing=05VTRr2VdE3
seatgeek-05VTRr2YGxO,seatgeek,5,340,https://www.seatgeek.com/?listing=05VTRr2YGxO
seatgeek-05VTRr2ZMrE,seatgeek,14,231,https://www.seatgeek.com/?listing=05VTRr2ZMrE
seatgeek-05VTRr2ZY3D,seatgeek,4,Club 216,https://www.seatgeek.com/?listing=05VTRr2ZY3D
seatgeek-05VTRr2ZYxA,seatgeek,19,Club 118,https://www.seatgeek.com/?listing=05VTRr2ZYxA
seatgeek-05VTRr2ZpbR,seatgeek,15,Club 115,https://www.seatgeek.com/?listing=05VTRr2ZpbR
seatgeek-05VTRr2Zpd2,seatgeek,11,Club 129,https://www.seatgeek.com/?listing=05VTRr2Zpd2
seatgeek-05VTRr2b2lP,seatgeek,15,543,https://www.seatgeek.com/?listing=05VTRr2b2lP
seatgeek-05VTRr2j55X,seatgeek,15,539,https://www.seatgeek.com/?listing=05VTRr2j55X
seatgeek-05VTRr2j5zv,seatgeek,15,Club 106,https://www.seatgeek.com/?listing=05VTRr2j5zv
seatgeek-05VTRr2k4jj,seatgeek,7,515,https://www.seatgeek.com/?listing=05VTRr2k4jj
seatgeek-05VTRr2k8lG,seatgeek,2,456,https://www.seatgeek.com/?listing=05VTRr2k8lG
seatgeek-05VTRr2wmzD,seatgeek,3,226,https://www.seatgeek.com/?listing=05VTRr2wmzD
seatgeek-05VTRr72kJZ,seatgeek,5,422,https://www.seatgeek.com/?listing=05VTRr72kJZ
seatgeek-05VTRr77JBd,seatgeek,22,542,https://www.seatgeek.com/?listing=05VTRr77JBd
seatgeek-05VTRr7BlkJ,seatgeek,7,327,https://www.seatgeek.com/?listing=05VTRr7BlkJ
seatgeek-05VTRr7E6pO,seatgeek,3,406,https://www.seatgeek.com/?listing=05VTRr7E6pO
