ticket,timestampmillis,price
seatgeek-8lKt3VJaXj8,1662034308064,424
seatgeek-8lKt3VJaXj8,1662034334308,443
seatgeek-8lKt3VJaXj8,1662034400198,433
seatgeek-8lKt3VJaXj8,1662035649492,433
seatgeek-8lKt3VJaXj8,1662035957730,433
vividseats-VB5740945306,1662034308064,469
vividseats-VB5740945306,1662034334308,469
vividseats-VB5740945306,1662034400198,469
vividseats-VB5740945306,1662035649492,469
vividseats-VB5740945306,1662035957730,469
stubhub-5478010971,1662034308064,360
stubhub-5478010971,1662034334308,360
stubhub-5478010971,1662034400198,360
stubhub-5478010971,1662035649492,360
stubhub-5478010971,1662035957730,360
vividseats-VB5738636416,1662034308064,473
vividseats-VB5738636416,1662034334308,473
vividseats-VB5738636416,1662034400198,473
vividseats-VB5738636416,1662035649492,473
vividseats-VB5738636416,1662035957730,473
vividseats-VB5736596259,1662034308064,1290
vividseats-VB5736596259,1662034334308,1290
vividseats-VB5736596259,1662034400198,1290
vividseats-VB5736596259,1662035649492,1290
vividseats-VB5736596259,1662035957730,1290
stubhub-5478020341,1662034308064,391.02
stubhub-5478020341,1662034334308,391.02
stubhub-5478020341,1662034400198,391.02
stubhub-5478020341,1662035649492,391.02
stubhub-5478020341,1662035957730,391.02
stubhub-5475901514,1662034308064,2757.7
stubhub-5475901514,1662034334308,2757.7
stubhub-5475901514,1662034400198,2757.7
stubhub-5475901514,1662035649492,2757.7
stubhub-5475901514,1662035957730,2757.7
stubhub--5430426099,1662034334308,981.51
stubhub--5430426099,1662034400198,981.51
stubhub--5430426099,1662034400198,981.51
stubhub--5430426099,1662035649492,981.51
stubhub--5430426099,1662035957730,981.51
vividseats-VB5740841182,1662034308064,627
vividseats-VB5740841182,1662034334308,627
vividseats-VB5740841182,1662034400198,627
vividseats-VB5740841182,1662035649492,627
vividseats-VB5740841182,1662035957730,627
vividseats-VB5740072097,1662034308064,362
vividseats-VB5740072097,1662034334308,362
vividseats-VB5740072097,1662034400198,362
vividseats-VB5740072097,1662035649492,362
vividseats-VB5740072097,1662035957730,362
seatgeek-LbviX4A85Yg,1662034308064,424
seatgeek-LbviX4A85Yg,1662034334308,443
seatgeek-LbviX4A85Yg,1662034400198,433
