ticket,timestampmillis,price
stubhub-5467081653,1662034308064,1476.91
stubhub-5467081653,1662034334308,1476.91
stubhub-5467081653,1662034400198,1476.91
vividseats-VB5734559009,1662034308064,337
vividseats-VB5734559009,1662034334308,337
vividseats-VB5734559009,1662034400198,337
seatgeek-3q7fvlJYVea,1662034308064,764
seatgeek-3q7fvlJYVea,1662034334308,799
seatgeek-3q7fvlJYVea,1662034400198,782
stubhub-5328694482,1662034308064,2530
stubhub-5328694482,1662034334308,2530
stubhub-5328694482,1662034400198,2530
vividseats-VB5740700789,1662034308064,501
vividseats-VB5740700789,1662034334308,501
vividseats-VB5740700789,1662034400198,501
seatgeek-lxVsqEqGj89,1662034308064,3731
seatgeek-lxVsqEqGj89,1662034334308,3901
seatgeek-lxVsqEqGj89,1662034400198,3816
stubhub-5474105266,1662034308064,4426.04
stubhub-5474105266,1662034334308,4426.04
stubhub-5474105266,1662034400198,4426.04
stubhub-5477354764,1662034308064,8381.16
stubhub-5477354764,1662034334308,8381.16
stubhub-5477354764,1662034400198,8381.16
stubhub-5478031528,1662034400198,285.74
stubhub-5478031528,1662034400198,285.74
vividseats-VB5740841384,1662034308064,990
vividseats-VB5740841384,1662034334308,990
vividseats-VB5740841384,1662034400198,990
seatgeek-2v0clb2XYq5,1662034308064,475
seatgeek-2v0clb2XYq5,1662034334308,496
seatgeek-2v0clb2XYq5,1662034400198,485
vividseats-VB5734582081,1662034308064,390
vividseats-VB5734582081,1662034334308,390
vividseats-VB5734582081,1662034400198,390
seatgeek-KezcrJgzR8L,1662034308064,2026
seatgeek-KezcrJgzR8L,1662034334308,2119
seatgeek-KezcrJgzR8L,1662034400198,2073
seatgeek-3q7fvl9vVLa,1662034308064,875
seatgeek-3q7fvl9vVLa,1662034334308,915
seatgeek-3q7fvl9vVLa,1662034400198,895
vividseats-VB5740949862,1662034308064,444
vividseats-VB5740949862,1662034334308,444
vividseats-VB5740949862,1662034400198,444
stubhub-5371189188,1662034308064,639.23
stubhub-5371189188,1662034334308,639.23
stubhub-5371189188,1662034400198,639.23
vividseats-VB5660376967,1662034308064,281
vividseats-VB5660376967,1662034334308,281
vividseats-VB5660376967,1662034400198,281
vividseats-VB5740945809,1662034308064,1299
vividseats-VB5740945809,1662034334308,1299
vividseats-VB5740945809,1662034400198,1299
stubhub-5474104137,1662034308064,3538.19
stubhub-5474104137,1662034334308,3538.19
stubhub-5474104137,1662034400198,3538.19
seatgeek-MAeIBM02JvV,1662034308064,1311
seatgeek-MAeIBM02JvV,1662034334308,1371
seatgeek-MAeIBM02JvV,1662034400198,1341
stubhub-5472494269,1662034308064,758.57
stubhub-5472494269,1662034334308,758.57
stubhub-5472494269,1662034400198,758.57
seatgeek-9P2cxr6epNo,1662034308064,633
seatgeek-9P2cxr6epNo,1662034334308,662
seatgeek-9P2cxr6epNo,1662034400198,648
vividseats-VB5660376185,1662034308064,325
vividseats-VB5660376185,1662034334308,325
vividseats-VB5660376185,1662034400198,325
vividseats-VB5653140932,1662034308064,8676
vividseats-VB5653140932,1662034334308,8676
vividseats-VB5653140932,1662034400198,8676
vividseats-VB5554850787,1662034308064,1338
vividseats-VB5554850787,1662034334308,1338
vividseats-VB5554850787,1662034400198,1338
stubhub-5379672572,1662034308064,315
stubhub-5379672572,1662034308064,315
stubhub-5379672572,1662034334308,315
stubhub-5379672572,1662034334308,315
stubhub-5379672572,1662034400198,315
stubhub-5379672572,1662034400198,315
stubhub-5478020344,1662034308064,881.02
stubhub-5478020344,1662034334308,881.02
stubhub-5478020344,1662034400198,881.02
vividseats-VB5739701031,1662034308064,1474
vividseats-VB5739701031,1662034334308,1474
vividseats-VB5739701031,1662034400198,1474
vividseats-VB5369465650,1662034308064,632
vividseats-VB5369465650,1662034334308,632
vividseats-VB5369465650,1662034400198,632
seatgeek-6mOhKp8l7Rx,1662034308064,361
seatgeek-6mOhKp8l7Rx,1662034334308,378
seatgeek-6mOhKp8l7Rx,1662034400198,370
seatgeek-JABI525AVKd,1662034308064,1279
seatgeek-JABI525AVKd,1662034334308,1338
seatgeek-JABI525AVKd,1662034400198,1308
stubhub-5475389554,1662034308064,2299.75
stubhub-5475389554,1662034334308,2299.75
stubhub-5475389554,1662034400198,2299.75
seatgeek-3q7fvlDEJjz,1662034308064,1017
seatgeek-3q7fvlDEJjz,1662034334308,1064
seatgeek-3q7fvlDEJjz,1662034400198,1040
stubhub-5282126289,1662034308064,2772
stubhub-5282126289,1662034334308,2772
stubhub-5282126289,1662034400198,2772
vividseats-VB5740763924,1662034308064,1238
vividseats-VB5740763924,1662034334308,1238
vividseats-VB5740763924,1662034400198,1238
stubhub-5477751552,1662034308064,2891.95
stubhub-5477751552,1662034334308,2891.95
stubhub-5477751552,1662034400198,2891.95
stubhub-5474249160,1662034308064,1901.61
stubhub-5474249160,1662034334308,1901.61
stubhub-5474249160,1662034400198,1901.61
stubhub-5463648186,1662034308064,1549.89
stubhub-5463648186,1662034334308,1549.89
stubhub-5463648186,1662034400198,1549.89
seatgeek-4vXcGkmJL7L,1662034308064,1267
seatgeek-4vXcGkmJL7L,1662034334308,1325
seatgeek-4vXcGkmJL7L,1662034400198,1296
seatgeek-2v0clPl7MZN,1662034308064,1135
seatgeek-2v0clPl7MZN,1662034334308,1187
seatgeek-2v0clPl7MZN,1662034400198,1161
stubhub--5445436396,1662034308064,405
stubhub--5445436396,1662034400198,405
stubhub-5351387545,1662034308064,565.95
stubhub-5351387545,1662034334308,565.95
stubhub-5351387545,1662034400198,565.95
vividseats-VB5560836737,1662034308064,415
vividseats-VB5560836737,1662034334308,415
vividseats-VB5560836737,1662034400198,415
vividseats-VB5560836720,1662034308064,370
vividseats-VB5560836720,1662034334308,370
vividseats-VB5560836720,1662034400198,370
vividseats-VB5742372164,1662034308064,763
vividseats-VB5742372164,1662034334308,763
vividseats-VB5742372164,1662034400198,763
seatgeek-9P2cxrx88np,1662034308064,1194
seatgeek-9P2cxrx88np,1662034334308,1248
seatgeek-9P2cxrx88np,1662034400198,1221
vividseats-VB5738700116,1662034308064,444
vividseats-VB5738700116,1662034334308,444
vividseats-VB5738700116,1662034400198,444
vividseats-VB5661743886,1662034308064,331
vividseats-VB5661743886,1662034334308,331
vividseats-VB5661743886,1662034400198,331
seatgeek-JABI525qARz,1662034308064,296
seatgeek-JABI525qARz,1662034334308,309
seatgeek-JABI525qARz,1662034400198,302
vividseats-VB5736436624,1662034308064,472
vividseats-VB5736436624,1662034334308,472
vividseats-VB5736436624,1662034400198,472
seatgeek-YgJtqPMp9nw,1662034308064,530
seatgeek-YgJtqPMp9nw,1662034334308,554
seatgeek-YgJtqPMp9nw,1662034400198,542
seatgeek-dNgUZqwN7Ax,1662034308064,783
seatgeek-dNgUZqwN7Ax,1662034334308,818
seatgeek-dNgUZqwN7Ax,1662034400198,800
seatgeek-dNgUZXVndPa,1662034308064,596
seatgeek-dNgUZXVndPa,1662034334308,623
seatgeek-dNgUZXVndPa,1662034400198,609
stubhub-5466588472,1662034308064,1924.92
stubhub-5466588472,1662034334308,1924.92
stubhub-5466588472,1662034400198,1924.92
seatgeek-05VTRJdn6Gd,1662034308064,400
seatgeek-05VTRJdn6Gd,1662034334308,418
seatgeek-05VTRJdn6Gd,1662034400198,409
vividseats-VB5738636294,1662034308064,985
vividseats-VB5738636294,1662034334308,985
vividseats-VB5738636294,1662034400198,985
seatgeek-mxAsLmpYEJn,1662034308064,340
seatgeek-mxAsLmpYEJn,1662034334308,356
seatgeek-mxAsLmpYEJn,1662034400198,348
seatgeek-V4KUmNm0qmj,1662034308064,2772
seatgeek-V4KUmNm0qmj,1662034334308,2899
seatgeek-V4KUmNm0qmj,1662034400198,2835
seatgeek-b4wURPdqYrJ,1662034308064,758
seatgeek-b4wURPdqYrJ,1662034334308,793
seatgeek-b4wURPdqYrJ,1662034400198,775
seatgeek-Zm9h6Rbej8G,1662034308064,1424
seatgeek-Zm9h6Rbej8G,1662034334308,1489
seatgeek-Zm9h6Rbej8G,1662034400198,1457
stubhub-5473755691,1662034308064,324
stubhub-5473755691,1662034308064,324
stubhub-5473755691,1662034334308,324
stubhub-5473755691,1662034334308,324
stubhub-5473755691,1662034400198,324
stubhub-5473755691,1662034400198,324
vividseats-VB5738698317,1662034308064,361
vividseats-VB5738698317,1662034334308,361
vividseats-VB5738698317,1662034400198,361
stubhub-5170091322,1662034308064,1027.77
stubhub-5170091322,1662034334308,1027.77
stubhub-5170091322,1662034400198,1027.77
seatgeek-nx0swDeKNjD,1662034308064,424
seatgeek-nx0swDeKNjD,1662034334308,443
seatgeek-nx0swDeKNjD,1662034400198,433
seatgeek-kYetLYXoVMe,1662034308064,864
seatgeek-kYetLYXoVMe,1662034334308,904
seatgeek-kYetLYXoVMe,1662034400198,884
vividseats-VB5653140938,1662034308064,8676
vividseats-VB5653140938,1662034334308,8676
vividseats-VB5653140938,1662034400198,8676
seatgeek-LbviXwXkwA4,1662034308064,311
seatgeek-LbviXwXkwA4,1662034334308,325
seatgeek-LbviXwXkwA4,1662034400198,318
vividseats-VB5732954317,1662034308064,382
vividseats-VB5732954317,1662034334308,382
vividseats-VB5732954317,1662034400198,382
seatgeek-05VTRLGeE0k,1662034308064,1045
seatgeek-05VTRLGeE0k,1662034334308,1092
seatgeek-05VTRLGeE0k,1662034400198,1069
stubhub-5423418519,1662034308064,574.75
stubhub-5423418519,1662034334308,574.75
stubhub-5423418519,1662034400198,574.75
vividseats-VB5734720986,1662034308064,397
vividseats-VB5734720986,1662034334308,397
vividseats-VB5734720986,1662034400198,397
seatgeek-g48UG3XgAPG,1662034308064,368
seatgeek-g48UG3XgAPG,1662034334308,384
seatgeek-g48UG3XgAPG,1662034400198,376
vividseats-VB5740763978,1662034308064,7884
vividseats-VB5740763978,1662034334308,7884
vividseats-VB5740763978,1662034400198,7884
seatgeek-agktE6kg70x,1662034308064,1115
seatgeek-agktE6kg70x,1662034334308,1166
seatgeek-agktE6kg70x,1662034400198,1141
vividseats-VB5371081555,1662034308064,673
vividseats-VB5371081555,1662034334308,673
vividseats-VB5371081555,1662034400198,673
seatgeek-rVOH8de06oY,1662034308064,741
seatgeek-rVOH8de06oY,1662034334308,775
seatgeek-rVOH8de06oY,1662034400198,758
stubhub-5477182137,1662034308064,589.08
stubhub-5477182137,1662034334308,589.08
stubhub-5477182137,1662034400198,589.08
stubhub-5449124675,1662034308064,359.1
stubhub-5449124675,1662034334308,359.1
stubhub-5449124675,1662034400198,359.1
stubhub-5474466019,1662034308064,1105.85
stubhub-5474466019,1662034334308,1105.85
stubhub-5474466019,1662034400198,1105.85
stubhub-5475053570,1662034308064,1376.11
stubhub-5475053570,1662034334308,1376.11
stubhub-5475053570,1662034400198,1376.11
seatgeek-LbviXwvwe7j,1662034308064,291
seatgeek-LbviXwvwe7j,1662034334308,305
seatgeek-LbviXwvwe7j,1662034400198,298
seatgeek-5Ejuqgqn6mg,1662034308064,2562
seatgeek-5Ejuqgqn6mg,1662034334308,2679
seatgeek-5Ejuqgqn6mg,1662034400198,2621
stubhub-5328691930,1662034308064,519.8
stubhub-5328691930,1662034334308,519.8
stubhub-5328691930,1662034400198,519.8
stubhub-5477182227,1662034308064,583.48
stubhub-5477182227,1662034334308,583.48
stubhub-5477182227,1662034400198,583.48
stubhub-5474104567,1662034308064,972.84
stubhub-5474104567,1662034334308,972.84
stubhub-5474104567,1662034400198,972.84
stubhub-5474600626,1662034308064,1565.06
stubhub-5474600626,1662034334308,1565.06
stubhub-5474600626,1662034400198,1565.06
vividseats-VB5732995265,1662034308064,382
vividseats-VB5732995265,1662034334308,382
vividseats-VB5732995265,1662034400198,382
vividseats-VB5407972462,1662034308064,717
vividseats-VB5407972462,1662034334308,717
vividseats-VB5407972462,1662034400198,717
seatgeek-w3JsqZLR3ve,1662034308064,363
seatgeek-w3JsqZLR3ve,1662034334308,380
seatgeek-w3JsqZLR3ve,1662034400198,372
vividseats-VB5734718244,1662034308064,691
vividseats-VB5734718244,1662034334308,691
vividseats-VB5734718244,1662034400198,691
stubhub-5426251216,1662034308064,9694.18
stubhub-5426251216,1662034334308,9694.18
stubhub-5426251216,1662034400198,9694.18
seatgeek-rVOH8d8B5eL,1662034308064,468
seatgeek-rVOH8d8B5eL,1662034334308,489
seatgeek-rVOH8d8B5eL,1662034400198,479
vividseats-VB5735158080,1662034308064,8355
vividseats-VB5735158080,1662034334308,8355
vividseats-VB5735158080,1662034400198,8355
