roundedMaxTS,roundedMaxDate,site,sold,soldAccum,unsold,inventory
1662033600000,“2022-09-01T08:00:00-04:00”,stubhub,15,15,3295,3310
1662033600000,“2022-09-01T08:00:00-04:00”,seatgeek,30,30,2987,3017
1662033600000,“2022-09-01T08:00:00-04:00”,vividseats,16,16,2848,2864
1662037200000,“2022-09-01T09:00:00-04:00”,stubhub,26,41,3269,3310
1662037200000,“2022-09-01T09:00:00-04:00”,seatgeek,37,67,2950,3017
1662037200000,“2022-09-01T09:00:00-04:00”,vividseats,20,36,2828,2864
1662040800000,“2022-09-01T10:00:00-04:00”,stubhub,13,54,3256,3310
1662040800000,“2022-09-01T10:00:00-04:00”,seatgeek,40,107,2910,3017
1662040800000,“2022-09-01T10:00:00-04:00”,vividseats,30,66,2798,2864
1662044400000,“2022-09-01T11:00:00-04:00”,stubhub,14,68,3242,3310
1662044400000,“2022-09-01T11:00:00-04:00”,seatgeek,35,142,2875,3017
1662044400000,“2022-09-01T11:00:00-04:00”,vividseats,20,86,2778,2864
1662048000000,“2022-09-01T12:00:00-04:00”,stubhub,19,87,3223,3310
1662048000000,“2022-09-01T12:00:00-04:00”,seatgeek,22,164,2853,3017
1662048000000,“2022-09-01T12:00:00-04:00”,vividseats,16,102,2762,2864
1662051600000,“2022-09-01T13:00:00-04:00”,stubhub,9,96,3214,3310
1662051600000,“2022-09-01T13:00:00-04:00”,seatgeek,18,182,2835,3017
1662051600000,“2022-09-01T13:00:00-04:00”,vividseats,6,108,2756,2864
1662055200000,“2022-09-01T14:00:00-04:00”,stubhub,15,111,3199,3310
1662055200000,“2022-09-01T14:00:00-04:00”,seatgeek,9,191,2826,3017
1662055200000,“2022-09-01T14:00:00-04:00”,vividseats,13,121,2743,2864
1662058800000,“2022-09-01T15:00:00-04:00”,stubhub,9,120,3190,3310
1662058800000,“2022-09-01T15:00:00-04:00”,seatgeek,11,202,2815,3017
1662058800000,“2022-09-01T15:00:00-04:00”,vividseats,3,124,2740,2864
1662062400000,“2022-09-01T16:00:00-04:00”,stubhub,7,127,3184,3311
1662062400000,“2022-09-01T16:00:00-04:00”,seatgeek,12,214,2803,3017
1662062400000,“2022-09-01T16:00:00-04:00”,vividseats,5,129,2735,2864
1662066000000,“2022-09-01T17:00:00-04:00”,stubhub,4,131,3180,3311
1662066000000,“2022-09-01T17:00:00-04:00”,seatgeek,7,221,2796,3017
1662066000000,“2022-09-01T17:00:00-04:00”,vividseats,2,131,2733,2864
1662069600000,“2022-09-01T18:00:00-04:00”,stubhub,11,142,3169,3311
1662069600000,“2022-09-01T18:00:00-04:00”,seatgeek,6,227,2790,3017
1662069600000,“2022-09-01T18:00:00-04:00”,vividseats,3,134,2730,2864
1662073200000,“2022-09-01T19:00:00-04:00”,stubhub,7,149,3163,3312
1662073200000,“2022-09-01T19:00:00-04:00”,seatgeek,9,236,2781,3017
1662073200000,“2022-09-01T19:00:00-04:00”,vividseats,6,140,2724,2864
1662076800000,“2022-09-01T20:00:00-04:00”,stubhub,4,153,3159,3312
1662076800000,“2022-09-01T20:00:00-04:00”,seatgeek,9,245,2772,3017
1662076800000,“2022-09-01T20:00:00-04:00”,vividseats,6,146,2718,2864
