ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
seatgeek-jDvsEmmNVXA,seatgeek,B,336,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=jDvsEmmNVXA,3,1662036268783
seatgeek-MAeIBM02JGD,seatgeek,F,31,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=MAeIBM02JGD,3,1662036268783
vividseats-VB5735969971,vividseats,K,134,https://www.vividseats.com//production/3727337?showDetails=VB5735969971&qty=1,1,1662036268783
stubhub-5474253082,stubhub,Y,327,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5474253082,2,1662036268783
seatgeek-Zm9h6GGXDlv,seatgeek,K,116,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=Zm9h6GGXDlv,3,1662036268783
stubhub-5477652107,stubhub,K,135,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5477652107,1,1662036268783
vividseats-VB5479583714,vividseats,C,117,https://www.vividseats.com//production/3727337?showDetails=VB5479583714&qty=1,1,1662036268783
stubhub-5469748142,stubhub,F,310,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5469748142,1,1662036268783
vividseats-VB5647955518,vividseats,L,337,https://www.vividseats.com//production/3727337?showDetails=VB5647955518&qty=1,1,1662036268783
vividseats-VB5734676380,vividseats,F,128,https://www.vividseats.com//production/3727337?showDetails=VB5734676380&qty=1,1,1662036268783
seatgeek-LbviXwXgvpY,seatgeek,P,306,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=LbviXwXgvpY,3,1662036268783
seatgeek-Zm9h6K6jERm,seatgeek,C,332,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=Zm9h6K6jERm,3,1662034400198
seatgeek-LbviXwXNNKM,seatgeek,P,307,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=LbviXwXNNKM,3,1662036268783
vividseats-VB5660375234,vividseats,O,303,https://www.vividseats.com//production/3727337?showDetails=VB5660375234&qty=1,1,1662036268783
seatgeek-g48UGEqdgX0,seatgeek,B,322,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=g48UGEqdgX0,3,1662036268783
vividseats-VB5742372165,vividseats,J,317,https://www.vividseats.com//production/3727337?showDetails=VB5742372165&qty=1,1,1662036268783
vividseats-VB5741016239,vividseats,J,323,https://www.vividseats.com//production/3727337?showDetails=VB5741016239&qty=1,1,1662036268783
seatgeek-5EjuqgqazLw,seatgeek,H,108,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=5EjuqgqazLw,3,1662036268783
seatgeek-mxAsLmBpzb0,seatgeek,J,331,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=mxAsLmBpzb0,3,1662036268783
vividseats-VB5736601203,vividseats,P,306,https://www.vividseats.com//production/3727337?showDetails=VB5736601203&qty=1,1,1662036268783
vividseats-VB5734343995,vividseats,A,106,https://www.vividseats.com//production/3727337?showDetails=VB5734343995&qty=1,1,1662036268783
stubhub-5463626139,stubhub,,134,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5463626139,1,1662036268783
vividseats-VB5660374801,vividseats,O,319,https://www.vividseats.com//production/3727337?showDetails=VB5660374801&qty=1,1,1662036268783
vividseats-VB5734660060,vividseats,D,57,https://www.vividseats.com//production/3727337?showDetails=VB5734660060&qty=1,1,1662036268783
stubhub-5477008629,stubhub,H,29,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5477008629,1,1662036268783
seatgeek-nx0swD5Lb9v,seatgeek,A,121,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=nx0swD5Lb9v,3,1662036268783
stubhub-5451732909,stubhub,Y,308,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5451732909,1,1662036268783
stubhub-5460496099,stubhub,G,121,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5460496099,1,1662036268783
seatgeek-g48UG3XgAJw,seatgeek,F,303,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=g48UG3XgAJw,3,1662036268783
