ticket,timestampmillis,price
vividseats-VB5772748644,1662861034307,587
vividseats-VB5772748644,1662861101933,587
vividseats-VB5772748644,1662861206691,587
vividseats-VB5772748644,1662861364054,587
vividseats-VB5772748644,1662861414019,587
vividseats-VB5772748644,1662861799171,587
vividseats-VB5772748644,1662861991314,587
seatgeek-qVjH702JdjR,1662861034307,565
seatgeek-qVjH702JdjR,1662861101933,540
seatgeek-qVjH702JdjR,1662861206691,553
seatgeek-qVjH702JdjR,1662861364054,565
seatgeek-qVjH702JdjR,1662861414019,565
seatgeek-qVjH702JdjR,1662861799171,553
seatgeek-qVjH702JdjR,1662861991314,565
seatgeek-Zm9h6KvR3bY,1662861034307,1606
seatgeek-Zm9h6KvR3bY,1662861101933,1536
seatgeek-Zm9h6KvR3bY,1662861206691,1571
seatgeek-Zm9h6KvR3bY,1662861364054,1606
seatgeek-Zm9h6KvR3bY,1662861414019,1606
seatgeek-Zm9h6KvR3bY,1662861799171,1571
seatgeek-Zm9h6KvR3bY,1662861991314,1606
stubhub-5484463163,1662861034307,40455.39
stubhub-5484463163,1662861101933,40455.39
stubhub-5484463163,1662861206691,40455.39
stubhub-5484463163,1662861364054,40455.39
stubhub-5484463163,1662861414019,40455.39
stubhub-5484463163,1662861799171,40455.39
stubhub-5484463163,1662861991314,40455.39
seatgeek-8lKt3z6POro,1662861034307,6247
seatgeek-8lKt3z6POro,1662861101933,5973
seatgeek-8lKt3z6POro,1662861206691,6110
seatgeek-8lKt3z6POro,1662861364054,6247
seatgeek-8lKt3z6POro,1662861414019,6247
seatgeek-8lKt3z6POro,1662861799171,6110
seatgeek-8lKt3z6POro,1662861991314,6247
stubhub-5501434385,1662861799171,144.73
stubhub-5501434385,1662861799171,144.73
stubhub-5501434385,1662861991314,144.73
stubhub-5501434385,1662861991314,144.73
vividseats-VB5772079092,1662861034307,2174
vividseats-VB5772079092,1662861101933,2174
vividseats-VB5772079092,1662861206691,2174
vividseats-VB5772079092,1662861364054,2174
vividseats-VB5772079092,1662861414019,2174
vividseats-VB5772079092,1662861799171,2174
vividseats-VB5772079092,1662861991314,2174
seatgeek-EroUbdj7kqb,1662861034307,587
seatgeek-EroUbdj7kqb,1662861101933,561
seatgeek-EroUbdj7kqb,1662861206691,574
seatgeek-EroUbdj7kqb,1662861364054,587
seatgeek-EroUbdj7kqb,1662861414019,587
seatgeek-EroUbdj7kqb,1662861799171,574
seatgeek-EroUbdj7kqb,1662861991314,587
stubhub-5501151795,1662861034307,425.7
stubhub-5501151795,1662861101933,425.7
stubhub-5501151795,1662861206691,425.7
stubhub-5501151795,1662861364054,425.7
stubhub-5501151795,1662861414019,425.7
stubhub-5501151795,1662861799171,425.7
stubhub-5501151795,1662861991314,425.7
seatgeek-BALIB2moZVN,1662861034307,2171
seatgeek-BALIB2moZVN,1662861101933,2076
seatgeek-BALIB2moZVN,1662861206691,2123
seatgeek-BALIB2moZVN,1662861364054,2171
seatgeek-BALIB2moZVN,1662861414019,2171
