roundedMaxTS,roundedMaxDate,site,sold,soldAccum,unsold,inventory
1662858000000,“2022-09-10T21:00:00-04:00”,stubhub,4,4,637,641
1662858000000,“2022-09-10T21:00:00-04:00”,seatgeek,3,3,657,660
1662858000000,“2022-09-10T21:00:00-04:00”,vividseats,4,4,1023,1027
1662861600000,“2022-09-10T22:00:00-04:00”,stubhub,244,248,393,641
1662861600000,“2022-09-10T22:00:00-04:00”,seatgeek,341,344,316,660
1662861600000,“2022-09-10T22:00:00-04:00”,vividseats,645,649,378,1027
1662894000000,“2022-09-11T07:00:00-04:00”,stubhub,22,270,372,642
1662894000000,“2022-09-11T07:00:00-04:00”,seatgeek,15,359,301,660
1662894000000,“2022-09-11T07:00:00-04:00”,vividseats,22,671,356,1027
1662897600000,“2022-09-11T08:00:00-04:00”,stubhub,16,286,356,642
1662897600000,“2022-09-11T08:00:00-04:00”,seatgeek,6,365,295,660
1662897600000,“2022-09-11T08:00:00-04:00”,vividseats,11,682,345,1027
1662901200000,“2022-09-11T09:00:00-04:00”,stubhub,34,320,322,642
1662901200000,“2022-09-11T09:00:00-04:00”,seatgeek,34,399,261,660
1662901200000,“2022-09-11T09:00:00-04:00”,vividseats,43,725,302,1027
1662904800000,“2022-09-11T10:00:00-04:00”,stubhub,34,354,288,642
1662904800000,“2022-09-11T10:00:00-04:00”,seatgeek,34,433,227,660
1662904800000,“2022-09-11T10:00:00-04:00”,vividseats,41,766,261,1027
1662908400000,“2022-09-11T11:00:00-04:00”,stubhub,141,495,146,641
1662908400000,“2022-09-11T11:00:00-04:00”,seatgeek,96,529,131,660
1662908400000,“2022-09-11T11:00:00-04:00”,vividseats,101,867,160,1027
1662912000000,“2022-09-11T12:00:00-04:00”,stubhub,49,544,97,641
1662912000000,“2022-09-11T12:00:00-04:00”,seatgeek,39,568,92,660
1662912000000,“2022-09-11T12:00:00-04:00”,vividseats,60,927,100,1027
1662915600000,“2022-09-11T13:00:00-04:00”,stubhub,36,580,61,641
1662915600000,“2022-09-11T13:00:00-04:00”,seatgeek,30,598,62,660
1662915600000,“2022-09-11T13:00:00-04:00”,vividseats,38,965,62,1027
1662919200000,“2022-09-11T14:00:00-04:00”,stubhub,0,580,61,641
1662919200000,“2022-09-11T14:00:00-04:00”,seatgeek,0,598,62,660
1662919200000,“2022-09-11T14:00:00-04:00”,vividseats,0,965,62,1027
